thread,essai n°,time
2,1,.097158694
2,2,.100122623
2,3,.096630707
2,4,.099748632
2,5,.095384736
4,1,.350954670
4,2,.320277399
4,3,.335157047
4,4,.335189046
4,5,.311468610
8,1,.354035602
8,2,.350781679
8,3,.339003960
8,4,.388463787
8,5,.338718968
16,1,.424074946
16,2,.480155617
16,3,.362308413
16,4,.332046131
16,5,.316433501
32,1,.795594151
32,2,.660256361
32,3,.693104585
32,4,.648317651
32,5,.617668378
