thread,essai n°,time
2,1,.963584504
2,2,1.017082261
2,3,.967037436
2,4,.878595504
2,5,.799336358
4,1,.657848661
4,2,.537201475
4,3,.624473443
4,4,.642694021
4,5,.510068113
8,1,.353673759
8,2,.361582576
8,3,.438927774
8,4,.447835569
8,5,.419308233
16,1,.456317374
16,2,.469560066
16,3,.366816460
16,4,.408340494
16,5,.408204497
32,1,.470027061
32,2,.452529468
32,3,.438501797
32,4,.529565678
32,5,.412991393
