thread,essai n°,time
2,1,.149260050
2,2,.124538073
2,3,.143572275
2,4,.141128283
2,5,.137993155
4,1,.348555611
4,2,.351475868
4,3,.358946067
4,4,.346061899
4,5,.345388897
8,1,.397566683
8,2,.333519125
8,3,.313000025
8,4,.317350962
8,5,.315334164
16,1,.447455248
16,2,.374808149
16,3,.385179820
16,4,.420101503
16,5,.308974615
32,1,.737406367
32,2,.599364314
32,3,.688551101
32,4,.667309534
32,5,.690524262
