thread,essai n°,time
2,1,3.434906983
2,2,.676205486
2,3,.669067280
2,4,2.952863092
2,5,2.724701517
4,1,.921454553
4,2,.719822743
4,3,1.017709327
4,4,.726184926
4,5,.711005488
8,1,1.834906874
8,2,2.131057408
8,3,2.476989377
8,4,2.220294979
8,5,2.666669842
16,1,10.955007671
16,2,5.278159090
16,3,7.397706162
16,4,6.873135044
16,5,3.981823733
32,1,24.958753148
32,2,14.814182838
32,3,13.356864843
32,4,17.484008749
32,5,19.310477365
