thread,essai n°,time
2,1,4.784446585
2,2,4.574312665
2,3,4.616692476
2,4,4.785207471
2,5,4.458333629
4,1,2.474180817
4,2,2.431308803
4,3,2.642430181
4,4,2.595178882
4,5,2.423046710
8,1,7.376056080
8,2,4.737677871
8,3,3.912889799
8,4,4.087534258
8,5,6.231317336
16,1,14.326657203
16,2,13.704863954
16,3,14.028310189
16,4,16.357806804
16,5,17.396805223
32,1,232.630107500
32,2,254.619596388
32,3,235.842459950
32,4,269.634174654
32,5,174.577341426
