thread,essai n°,time
2,1,.159036989
2,2,.163151015
2,3,.180271120
2,4,.176430097
2,5,.117792733
4,1,.292598820
4,2,.325522027
4,3,.419598613
4,4,.446565784
4,5,.312759951
8,1,1.299000113
8,2,1.255643861
8,3,1.408709839
8,4,1.526877603
8,5,1.005069336
16,1,4.444256140
16,2,5.007704953
16,3,4.946526816
16,4,5.163403477
16,5,3.639487759
32,1,7.330104253
32,2,8.216311717
32,3,8.200264264
32,4,7.868765634
32,5,7.318065406
